entity_id,sc_name,family,range_state,CITES,IUCN,common_name,genus
1,Acacia auriculiformis,Leguminosae,,0,0,Ear-leaf Acacia,Acacia
2,Acacia crassicarpa,Leguminosae,,0,1,,Acacia
3,Acacia decurrens,Leguminosae,,0,0,,Acacia
4,Acacia koa,Leguminosae,,0,0,Koa;Gray Koa,Acacia
5,Acacia mangium,Leguminosae,,0,0,,Acacia
6,Acacia mearnsii,Leguminosae,,0,0,,Acacia
7,Acacia melanoxylon,Leguminosae,,0,0,,Acacia
8,Acacia nilotica,Leguminosae,,0,0,Sunt;Qarad,Acacia
9,Acacia pubescens,Leguminosae,,0,0,,Acacia
10,Acer campestre,Sapindaceae,,0,0,Field Maple,Acer
11,Acer macrophyllum,Sapindaceae,,0,0,Bigleaf Maple;Oregon Maple,Acer
12,Acer negundo,Sapindaceae,,0,0,Boxelder,Acer
13,Acer palmatum,Sapindaceae,,0,0,鸡爪枫 (Ji Zhua Feng);Japanese Maple,Acer
14,Acer pensylvanicum,Sapindaceae,,0,0,Striped Maple;Moosewood,Acer
15,Acer pictum,Sapindaceae,,0,0,The Painted Maple,Acer
16,Acer platanus,Sapindaceae,,0,0,,Acer
17,Acer pseudoplatanus,Sapindaceae,,0,0,Sycamore,Acer
18,Acer rubrum,Sapindaceae,,0,0,Red Maple,Acer
19,Acer saccharinum,Sapindaceae,,0,0,Silver Maple,Acer
20,Acer saccharum,Sapindaceae,,0,0,Sugar Maple,Acer
21,Acer saccharum nigrum,Sapindaceae,,0,0,,Acer
22,Acer saccharum,Sapindaceae,,0,0,,Acer
23,Acosmium panamense,Leguminosae,,0,0,,Acosmium
24,Acrocarpus fraxinifolius,Leguminosae,,0,0,,Acrocarpus
25,Adenanthera pavonina,Leguminosae,,0,0,,Adenanthera
26,Aesculus flava,Sapindaceae,,0,0,,Aesculus
27,Aesculus glabra,Sapindaceae,,0,0,,Aesculus
28,Aesculus hippocastanum,Sapindaceae,,0,1,Horse Chestnut;Castanheiro da Índia,Aesculus
29,Aesculus turbinata,Sapindaceae,,0,0,,Aesculus
30,Afzelia africana,Leguminosae,,0,1,Afzelia;Apa;Kawo;Lenguè;Arinyan;Papao;Savanna Doussié;Akpalata,Afzelia
31,Afzelia bella,Leguminosae,,0,0,,Afzelia
32,Afzelia bipindensis,Leguminosae,,0,1,Red Doussié;Odo Niyan;Doussie;Aja;Doussié;Ayan-olutoko,Afzelia
33,Afzelia pachyloba,Leguminosae,,0,1,White Afzelia;White Doussié;Orodo;Apa Igbo,Afzelia
34,Afzelia quanzensis,Leguminosae,,0,0,,Afzelia
35,Afzelia rhomboidea,Leguminosae,,0,1,Balayong;Tarum;Kupang;Tindalo;Tanduk,Afzelia
36,Afzelia xylocarpa,Leguminosae,,0,1,Beng;Go Ca Te;Go Do;Tê Kha;Ma Khaa Mong;Makha-hua-kham;Kha;Makha-luang,Afzelia
37,Aglaia cucullata,Meliaceae,,0,1,Katong-tiklop;Bengang;Daeng-nam;Kato;Malakamote;Myauk-le-seik;Tasua;Pacific Maple;Nyireh Batu;Che;Amoora,Aglaia
38,Aglaia spectabilis,Meliaceae,,0,0,Tasua-bailek;Mokken;Bekak;Langsat-langsat;Lantupak;Merasam,Aglaia
39,Ailanthus altissima,Simaroubaceae,,0,1,,Ailanthus
40,Ailanthus triphysa,Simaroubaceae,,0,0,,Ailanthus
41,Alangium meyeri,Cornaceae,,0,0,,Alangium
42,Albizia adianthifolia,Leguminosae,,0,0,Flat-crown Albizia;West African Albizia,Albizia
43,Albizia antunesiana,Leguminosae,,0,0,,Albizia
44,Albizia ferruginea,Leguminosae,,0,1,Albizia;Uwowe;Sifou;Latandza;Ngu;Awiemfo Samina;Ayinre-ogo,Albizia
45,Albizia guachapele,Leguminosae,,0,0,,Albizia
46,Albizia gummifera,Leguminosae,,0,0,,Albizia
47,Albizia lebbeck,Leguminosae,,0,0,,Albizia
48,Albizia lebbekoides,Leguminosae,,0,0,,Albizia
49,Albizia pedicellaris,Leguminosae,,0,0,,Albizia
50,Albizia procera,Leguminosae,,0,0,,Albizia
51,Albizia saman,Leguminosae,,0,0,,Albizia
52,Albizia versicolor,Leguminosae,,0,0,,Albizia
53,Albizia zygia,Leguminosae,,0,0,,Albizia
54,Alchornea triplinervia,Euphorbiaceae,,0,0,,Alchornea
55,Aleurites moluccanus,Euphorbiaceae,,0,0,Candlenut Tree,Aleurites
56,Alexa grandiflora,Leguminosae,,0,0,,Alexa
57,Alexa imperatricis,Leguminosae,,0,0,,Alexa
58,Alexa wachenheimii,Leguminosae,,0,0,,Alexa
59,Allantoma integrifolia,Lecythidaceae,,0,0,,Allantoma
60,Allantoma pluriflora,Lecythidaceae,,0,0,,Allantoma
61,Allophylus cobbe,Sapindaceae,,0,0,,Allophylus
62,Alnus glutinosa,Betulaceae,,0,0,klibbal;Common Alder;ontano nero;Black alder;European Alder;swartels,Alnus
63,Alnus incana,Betulaceae,,0,0,Grey alder,Alnus
64,Alnus nepalensis,Betulaceae,,0,0,Ust;Utis;उतिस Utis;Utees;Otish;Nepal Black Cedar;ni po er qi mu;Lal-amiri,Alnus
65,Alnus rubra,Betulaceae,,0,0,Western alder;Oregon alder;Red alder;Aulne rouge,Alnus
66,Alphitonia philippinensis,Rhamnaceae,,0,0,,Alphitonia
67,Alphitonia zizyphoides,Rhamnaceae,,0,0,,Alphitonia
68,Alseodaphne archboldiana,Lauraceae,,0,0,,Alseodaphne
69,Alseodaphne malabonga,Lauraceae,,0,0,,Alseodaphne
70,Alstonia actinophylla,Apocynaceae,,0,0,,Alstonia
71,Alstonia angustifolia,Apocynaceae,,0,0,Pulai Pipit;Pulai Penipu Paya;Pulai Penipu Bukit,Alstonia
72,Alstonia angustiloba,Apocynaceae,,0,0,,Alstonia
73,Alstonia boonei,Apocynaceae,,0,0,,Alstonia
74,Alstonia congensis,Apocynaceae,,0,0,,Alstonia
75,Alstonia macrophylla,Apocynaceae,,0,0,Cayacayao;Sayongan;Champek Phnom;Thungfa;Teen Thian;Pulai Daun Besar;Pulai Penipu Bukit;Cây So Tua;Tung Fa;Tampahin;Katung Fa;Batino;Kra Thungfa Hai;CÃ¢y So Tua,Alstonia
76,Alstonia scholaris,Araucariaceae,,1,0,Pulai Itam;Dita;Sataban;Tin Pet Khao;Blackboard Tree;Tin Pet;Milkwood Pine;Sath Taba;Satba;White Cheesewood;Lame Putih;Waser;Tin Pet Dam;Cay Sua;Teenpet Khaao;Mo Cua;Geceh;Ruith;Pulai Lilin;Sat Thba;Pule;Puulaa Puu Teh,Alstonia
77,Alstonia spatulata,Apocynaceae,,0,0,Ka Bui;Lame Bodas;Pulai Gabus;Pulai Lilin;Teenpet Phru;Pulai Paya;Sia;Thia;Siamese Balsa;Hard Milkwood;Pulai Basong,Alstonia
78,Altingia excelsa,Altingiaceae,,0,0,,Altingia
